amount,sender_account_age,receiver_account_age,is_fraud,sender_account_id,receiver_account_id
122.73,654,3082,0,4212,4915
5.55,3053,3435,0,4894,4418
264.83,351,873,0,1119,3417
65.41,1162,316,0,4310,3391
96.48,2966,1509,0,1694,4637
11.13,1561,2947,0,3604,1412
48.33,3260,2507,0,1540,4012
15.7,2536,616,0,3706,4328
3.35,504,1532,0,3148,1790
69.01,110,3286,0,3550,4276
91.31,1861,1898,0,4004,2898
242.5,1641,1668,0,2647,1195
20.19,2630,258,0,4538,1254
35.12,3645,141,0,3038,2582
49.44,369,3160,0,2386,3757
14.13,1719,1362,0,4519,3089
7.3,758,1296,0,3630,2550
55.09,1875,1279,0,3676,3572
28.09,2790,505,0,1902,2311
16.38,54,771,0,1451,3657
5.44,2063,1783,0,2180,1967
18.89,3385,1048,0,2435,2400
23.25,3086,3219,0,2031,4642
11.71,3616,1259,0,2879,4292
1073.07,2873,292,0,1166,1084
5.38,57,248,0,1885,4715
56.07,1018,3361,0,4611,3589
8.83,2553,3599,0,4873,1172
15.05,3271,3193,0,3342,4040
645.79,3424,1173,0,3687,3531
2894.5932594605415,15,649,1,3891,1837
61.54,285,1896,0,4668,1544
7.34,2252,704,0,4136,2527
135.81,3284,1167,0,4097,4711
12.58,1617,608,0,1265,3212
49.78,1877,2188,0,3220,4146
27.89,2527,1890,0,3861,2707
15.41,166,3076,0,2345,2840
11.44,2303,1286,0,4018,4653
3.19,860,3247,0,3164,3756
2.56,2124,2115,0,3644,2152
149.04,1809,612,0,2682,1232
25.83,3647,1988,0,1348,2507
7.62,2958,1924,0,1577,1773
28.77,2106,1423,0,1616,4723
38.41,3602,3496,0,4428,2873
29.94,147,2994,0,3521,4098
14.38,1186,351,0,3099,2622
41.76,1260,1988,0,4951,1032
24.56,2972,276,0,1967,3395
1.18,466,2489,0,1604,4231
14.46,2605,1672,0,1684,1917
36.44,290,1957,0,2292,1029
65.44,343,652,0,3093,1928
432.28,880,2822,0,4050,1031
7.44,899,2314,0,1403,4923
47.85,2223,2061,0,3459,4282
19.92,1013,1043,0,3857,3089
260.63,707,153,0,3755,4971
27.4,3410,1776,0,2379,2090
21.08,3518,3441,0,3677,3883
81.55,2864,1477,0,4232,4330
2463.47,2381,3126,0,1991,2557
1836.0972940958106,21,65,1,3428,3763
41.36,3557,808,0,3030,1746
248.5,1851,2575,0,2381,1874
34.89,2001,1204,0,1113,3949
36.14,1250,2405,0,1485,3305
153.93,2184,3286,0,1277,3927
32.72,3100,2119,0,4259,1395
11.36,3071,2554,0,3938,4555
140.46,3568,1499,0,4437,3705
296.48,2626,3123,0,3634,1034
14.89,1682,1266,0,1724,1923
1341.446765288614,25,2193,1,2826,3605
141.3147760869625,4,2855,1,4829,3096
3.28,2234,3282,0,3044,2495
624.32,43,338,0,2403,3752
2.63,1265,2606,0,2710,4191
9.69,3608,3609,0,2556,4371
181.0945077546903,22,3490,1,4614,2908
69.64,973,1184,0,2232,2549
11.16,1382,923,0,1077,3533
20.18,1499,2955,0,1060,2143
462.15,2251,2301,0,4727,4681
174.24,2015,2335,0,4323,1151
1.55,1320,3219,0,3276,1534
16.35,1594,215,0,3876,1266
1.22,1218,1666,0,1803,4943
38.96,2435,1030,0,3792,2001
58.42,2740,3150,0,2298,3009
53.01,1216,2761,0,1099,3638
7.37,1697,428,0,4781,1530
15.2,2296,25,0,1492,1587
1.29,917,364,0,3174,2190
7.01,2269,821,0,3726,3588
79.08,1641,2338,0,4483,4381
32.92,3618,1196,0,1532,3640
67.52,3136,1522,0,4858,3166
1.84,3226,2365,0,3274,2831
5.03,249,2407,0,1332,1086
69.42,2240,1769,0,3525,4093
35.33,2666,1254,0,1522,1293
245.52,3133,2792,0,1511,4420
13.11,69,2070,0,2163,4912
17.02,1910,2966,0,3440,2814
191.54,2460,3285,0,2315,3667
15.86,198,3015,0,4385,1966
21.73,1364,1823,0,2076,1305
71.24,1562,3420,0,2622,2559
50.31,1506,2731,0,1239,2734
361.39,1406,1341,0,2107,1771
28.68,4,391,0,1119,3126
12.37,1589,1314,0,3787,1634
3.32,2322,422,0,2776,3586
335.1,2879,702,0,3925,3615
14.2,459,3117,0,4906,3792
8.82,993,788,0,2473,4821
99.85,3322,598,0,2500,4803
554.67,1756,1453,0,2963,4474
7.08,3360,3547,0,2685,4694
37.49,2462,1727,0,1910,3484
109.46,2594,800,0,4618,1531
1750.79,2431,2522,0,2178,4449
53.7,383,398,0,4108,4136
6.16,2720,2785,0,3312,3826
132.74,2969,2480,0,3394,1821
26.64,2771,1567,0,4709,3583
41.63,625,269,0,2086,1830
212.01,2938,784,0,1862,2692
23.44,1740,2275,0,2812,1613
22.62,3322,1348,0,1366,1196
7.27,3649,2323,0,2218,3096
16.46,3441,1777,0,1700,2687
12.13,686,1923,0,4172,2139
3.09,480,3020,0,2839,1441
85.57,247,1472,0,2918,2506
37.09,3494,2727,0,2356,4336
96.16,2756,2329,0,4969,3655
67.42,2497,191,0,4404,2008
6.85,2737,2852,0,4430,4347
63.28,2801,2483,0,1705,2378
15.17,1302,44,0,1486,1612
76.33,1140,2289,0,3360,2467
6.1,1595,2564,0,3207,4085
14.87,2766,2203,0,1418,2503
5.0,1923,1907,0,1356,2004
24.02,2809,1495,0,3507,3297
109.57,3595,2650,0,1964,1082
25.77,699,3361,0,4156,2859
9.69,2964,1167,0,3062,3372
9.55,2672,1723,0,3123,2665
58.05,2697,2470,0,2644,2847
4.22,2462,387,0,3466,2659
98.89,391,1900,0,4139,4924
20.87,261,106,0,1812,2960
10.86,2507,2992,0,1815,3270
26.78,3014,2614,0,4152,1702
39.82,1993,1576,0,2487,2903
6.0,531,1978,0,2113,2076
95.41,2967,217,0,2144,1194
78.85,382,3426,0,1832,1847
39.47,83,2762,0,2062,3078
97.73,235,772,0,3253,2312
18.72,695,2529,0,2199,2758
10.61,3116,191,0,4627,1700
80.21,1732,3534,0,1041,2243
34.35,2896,1945,0,1527,1642
12.57,1891,3442,0,4118,1216
34.15,2042,2982,0,4651,3961
313.46032752816376,12,1284,1,1094,1858
17.54,2309,3225,0,2463,2257
72.81,3334,2708,0,4521,1424
1.71,2402,2672,0,1855,1879
11.61,8,773,0,2216,2971
12.98,2100,3452,0,4369,4495
17.06,2280,3579,0,1592,3882
1104.8994102699185,11,2707,1,3308,3788
226.62,452,2351,0,3357,4792
14.1,1313,2091,0,3357,2342
3.18,3394,1892,0,2565,2668
7.43,2902,1076,0,1302,1793
31.07,863,164,0,1157,1279
67.06,1610,3116,0,3909,4000
14.47,2900,3420,0,4259,2167
116.08,1983,11,0,1678,2030
37.9,567,3414,0,4184,3329
15.55,2927,270,0,2126,2510
12.43,1939,1994,0,4105,1159
43.78,1281,950,0,4206,3867
22.14,663,2330,0,1034,3849
29.08,2861,3411,0,4928,3400
0.72,946,2342,0,4136,4639
3.72,2454,797,0,4263,2802
199.15,2843,1966,0,1993,2885
4.13,2187,3133,0,1650,1211
14.56,1458,2694,0,4744,4009
31.44,3269,26,0,3901,1463
51.75,775,763,0,2392,4355
5.41,3280,1040,0,3366,4100
22.9,3285,2725,0,4413,2547
75.78,1575,2423,0,1965,4592
160.51,2878,1976,0,2970,1632
9.67,2368,251,0,2301,1589
8.09,2287,2723,0,4644,3710
66.64,1268,1794,0,3202,4054
16.38,481,2140,0,3999,1178
36.89,1685,3570,0,4861,3272
28.08,2581,3031,0,2694,1228
143.51,2028,1711,0,4047,2464
6.61,1623,2661,0,2147,2886
62.63,1706,2176,0,4657,1561
93.96,794,645,0,1830,2613
18.45,3612,3324,0,1184,4232
27.35,3074,1101,0,1250,4883
44.82,1830,1906,0,2394,3017
27.34,2450,1539,0,3767,2988
2.68,3344,1216,0,4888,1200
7.4,1660,846,0,3549,1873
2.98,1578,307,0,3510,2166
16.16,246,2950,0,3020,2075
29.51,1192,3616,0,4901,1334
0.15,1136,3408,0,2605,1073
2.15,3407,1555,0,3693,3613
64.39,2314,1525,0,3311,3929
1.74,679,1008,0,4512,4383
7.08,2966,2903,0,4938,4685
46.26,2789,1216,0,3245,4023
6.11,263,3379,0,4313,2945
8.6,2808,2694,0,2283,2486
4.55,3263,3456,0,4135,4443
0.96,1263,3433,0,2621,2720
146.19,17,1093,0,4148,2892
24.64,367,2281,0,4052,2631
66.54,2616,3158,0,4165,2435
37.67,3617,1001,0,4814,2342
7.98,344,3011,0,1409,4406
12.47,1672,3051,0,2078,3432
14.33,882,1491,0,3686,3531
2654.770695539606,23,903,1,3778,2148
105.49,3649,1278,0,4269,3089
1.39,844,2992,0,1345,2329
11.13,1314,2326,0,3787,3344
81.11,3296,1356,0,1735,4688
136.28,3392,2057,0,2103,2834
51.14,1992,632,0,4069,1897
50.91,1740,2069,0,2635,1931
13.34,2192,2383,0,2567,2316
9.5,2375,446,0,3746,2678
143.87,2964,2676,0,1895,4118
21.59,3048,1862,0,1991,3183
97.31,1389,875,0,1275,4796
240.5,1919,2339,0,2647,4040
134.34,541,2803,0,2373,2776
60.65,1619,2378,0,1731,4765
3.84,3013,58,0,2943,3974
16.56,3129,1537,0,1964,2188
8.36,26,3456,0,4230,4943
27.89,1382,1335,0,1673,4011
24.74,2729,1504,0,1765,3834
14.19,2,1224,0,2265,2097
70.59,634,1881,0,3468,1983
29.18,3613,638,0,4177,4757
1.93,2446,1869,0,3954,1394
1120.16,2902,513,0,3166,1417
176.32,3028,2007,0,4826,2125
644.06,2300,328,0,1610,4609
3.77,1240,2992,0,3579,1448
54.64,674,3405,0,2118,1342
189.37,915,636,0,2803,4044
155.11,2433,3565,0,3936,2924
1712.84,1310,3576,0,1372,4104
98.42,270,123,0,1716,1364
78.63,794,428,0,3599,2384
10.74,733,659,0,1085,4279
314.51,1836,2235,0,4391,4498
1216.4,1852,469,0,2615,2687
6.15,64,598,0,4776,4543
20.75,3191,2711,0,2128,4016
116.35,1548,77,0,4687,1399
66.12,1293,1079,0,2884,4284
21.7,894,3494,0,1700,4053
73.81,1849,2179,0,1165,4136
452.28998041439337,16,2249,1,3827,1570
156.06,666,1392,0,1585,2916
247.65,697,1083,0,4453,3799
51.54,993,1901,0,2290,3335
19.34,2782,3126,0,1153,3500
33.77,3208,1842,0,2812,3105
6.5,664,514,0,3644,1683
9.15,1714,2709,0,2261,1779
15.51,186,2619,0,3870,1879
7.57,1279,2254,0,1723,2695
15.01,2611,1862,0,3236,3570
30.09,216,1683,0,4978,1290
11.63,677,2790,0,1501,4612
37.49,2373,1757,0,3901,4158
111.39,365,1964,0,1471,2325
15.35,1385,468,0,4456,4449
13.53,3251,1972,0,3664,4874
64.59,2604,840,0,2267,2068
17.1,2582,2999,0,4775,1245
255.32,1761,1733,0,3934,4459
1.71,438,1545,0,1772,2880
136.89,3405,2441,0,3810,3603
12.4,2839,656,0,1601,2130
29.91,2656,1460,0,2867,1816
63.74,1365,1071,0,4060,2325
29.8,2130,3330,0,3424,1271
609.28,567,983,0,1253,1915
16.7,761,1740,0,4592,1262
7.86,2414,3350,0,4211,4967
25.35,745,527,0,1621,3750
6.26,2241,2562,0,3261,1534
68.8,3448,2557,0,3344,3905
3471.250645408784,15,1084,1,2162,2039
43.12,169,913,0,2707,3014
35.61,2021,3273,0,4091,4608
0.25,693,215,0,4728,4521
13.7,3591,310,0,3690,1416
65.5,3273,3640,0,3498,4696
20.29,1351,2038,0,3929,2653
134.24,1267,2552,0,3054,2785
34.99,2695,312,0,2256,3544
32.93,3306,763,0,1221,2337
9.86,1642,2874,0,1011,3009
1435.11,177,172,0,1285,2235
23.96,3199,3329,0,1255,1539
55.49,2458,1728,0,3150,4143
5.43,2705,128,0,4113,1900
7.21,2759,36,0,3591,2290
99.16,2379,2515,0,2716,1065
9.03,1206,913,0,1470,3656
123.95,2462,1463,0,1773,1208
3.71,307,103,0,1754,4707
17.52,49,1657,0,1715,1158
5.56,3142,2190,0,3018,4986
48.54,312,3046,0,4908,2734
8.12,1214,152,0,1201,2960
189.59,1658,3012,0,3360,4386
136.78,3099,57,0,4525,1869
134.17,2223,1283,0,4261,2703
2.44,1222,2699,0,2654,1024
14.83,956,1857,0,1688,2373
8.47,2249,13,0,4833,4160
61.52,1721,1146,0,4985,3202
15.24,728,3628,0,1089,4411
118.7,75,3278,0,2418,4080
266.1,2972,339,0,2761,4340
51.14,3418,2813,0,4954,2375
4.72,1550,674,0,1511,4952
1187.84,491,863,0,2875,1576
5.66,2676,3211,0,1564,4670
171.53,1550,1486,0,3208,1386
18.77,1629,2620,0,3021,1952
21.63,2557,1833,0,4595,1039
12.18,2603,1790,0,2464,4428
83.34370426241672,23,3236,1,3300,4490
45.19,63,2824,0,4427,4896
77.35,1737,1419,0,4638,2366
10.34,1223,2907,0,3494,4595
50.15,3506,1801,0,1085,2821
26.09,1010,3033,0,1234,1502
679.14,1784,564,0,3911,2201
55.8,2156,91,0,2584,1070
40.98,1141,1794,0,1341,1371
0.87,3326,827,0,3307,1621
975.85,2907,1715,0,1060,3044
19.27,68,1052,0,1928,1228
57.19,3209,1256,0,4784,4023
17.17,2349,1491,0,3890,4865
123.04,1109,2530,0,2076,2996
103.18,2783,2978,0,3665,3149
18.39,47,3450,0,4879,4209
132.99,2184,2309,0,3079,4822
14.18,3528,1531,0,2487,1472
12.98,3279,3649,0,1352,1124
20.19,3619,2317,0,2211,2974
327.82,933,916,0,2689,3526
33.0,2854,1856,0,4392,3764
4.98,2733,407,0,4131,1502
612.4747798205535,11,51,1,3710,3946
13.36,3349,3445,0,2152,4605
29.59,25,628,0,4503,2311
16.45,1735,15,0,1760,2852
17.5,3176,17,0,3565,3125
74.85,117,319,0,1396,1246
35.85,2768,476,0,3831,4708
35.27,1390,2960,0,4259,3510
28.86,381,2304,0,1630,2201
94.59,2308,3535,0,4708,1523
286.98,2259,2833,0,3216,4657
77.24,3111,1699,0,1134,2702
171.31,1930,2305,0,1184,2674
17.33,1669,3508,0,3341,4352
4.24,3045,3629,0,4014,1218
610.92,1180,2885,0,2902,1444
2571.64,2043,2891,0,4926,3134
14.15,3199,1851,0,1666,4768
51.39,2074,3362,0,4699,2130
12.94,2279,2543,0,4937,1737
9.05,1262,3369,0,1560,3325
49.04,3406,2508,0,4688,1117
78.87,2228,961,0,3635,2911
14.53,647,627,0,1142,1293
6.51,2794,2765,0,1257,2439
16.42,87,3532,0,2179,2490
35.1,3408,1924,0,2011,4901
114.43,1900,1950,0,2174,3606
15.66,1335,51,0,1155,3781
12.5,3363,2251,0,4232,4065
12.72,3030,1272,0,1632,2948
29.93,614,14,0,3522,3557
8.97,2639,404,0,3935,1210
65.71,321,1148,0,3729,3669
24.59562422405541,10,3477,1,4466,4710
133.05,2757,1480,0,2540,2982
136.77,3162,1246,0,3071,3425
953.7505180039748,23,864,1,3993,3368
26.2,54,13,0,3850,3869
14.29,2581,1159,0,4024,3782
131.29,456,948,0,1024,4662
32.49,1375,1205,0,3350,1418
421.94,710,409,0,2118,4090
8.25,624,392,0,3755,3998
103.44,754,184,0,1467,3125
2.77,92,3620,0,1441,1771
25.3,2019,60,0,3664,4961
2.58,2393,3576,0,2142,4925
2.58,2692,295,0,1696,3420
119.09,115,1624,0,4697,2549
71.27,1491,233,0,1294,2963
294.66,780,2735,0,2008,4832
10.49,997,277,0,4488,1989
65.11,241,2623,0,1986,1853
139.81,3610,1471,0,2060,3084
74.65,3334,1578,0,1582,2470
135.47,2542,2075,0,4965,2076
754.0,1203,934,0,3422,1371
13.91,3426,2972,0,3526,2052
81.17,1848,2254,0,2652,2786
95.22,2496,3395,0,4715,4371
83.57,527,289,0,2861,3978
10.42,2768,1808,0,2614,2050
11.62,2397,3594,0,2800,3402
27.3,7,2449,0,2806,1799
66.57,3150,813,0,3766,4841
47.62,2835,1628,0,4197,1422
22.15,3080,3611,0,3067,2547
49.39,3006,2111,0,4400,3632
25.76,1985,2430,0,3685,1400
3.43,1204,2457,0,1606,3741
97.42,3140,673,0,2353,4535
187.92,789,3225,0,1108,4977
7.96,1825,2435,0,2247,1958
10.75,3369,2666,0,3500,1202
107.3,512,869,0,1562,4658
23.45,1999,3515,0,2663,1463
27.04,3623,2898,0,3902,4154
402.66,3399,3031,0,4710,2428
36.13,982,287,0,3363,3885
34.61,516,571,0,1092,2867
100.66,3532,1308,0,4678,3392
39.02,377,2984,0,1597,2654
90.92,2682,2531,0,3140,2819
62.26,3152,134,0,4095,4268
31.94,2022,393,0,1928,2251
44.75,1122,2572,0,3546,2318
536.4498381478063,1,3562,1,1839,1404
4.49,2249,3281,0,1419,2549
33.74,52,1028,0,1631,4913
