amount,sender_account_age,receiver_account_age
13.04,3357,1084
39.5,276,2194
32.59,203,1860
21.38,3035,2561
75.48,1505,309
161.65,296,226
94.39,2963,3586
4.19,832,443
534.36,899,2868
29.49,242,233
1.69,1344,739
129.48,1652,3608
312.89,2017,1950
7.92,1596,337
64.23,3271,74
20.19,3619,2317
1.86,2400,1076
4.35,3030,2059
6.12,1049,2267
2.85,2713,1514
44.07,2719,3004
5.22,3640,2572
7.5,2611,2973
79.45,896,1430
7.76,672,3169
4.36,1335,3445
52.58,979,3140
89.93,3618,1636
225.87,2889,2954
64.66,106,1689
35.32,2256,256
27.56,574,2771
325.45,617,1884
717.54,1563,2427
50.04,1768,1432
32.97,2145,910
9.23,3402,1911
255.63,3023,2607
4.22,2462,387
61.46,728,1742
55.5,3479,2569
34.3,1919,1172
70.64,1805,2369
94.4,872,228
170.68,586,1599
42.17,1251,1523
4.47,1165,2071
7.43,2902,1076
3.54,671,2601
81.4,132,1430
33.96,2839,481
63.28,2801,2483
57.49,3345,2605
131.33,298,2952
24.93,564,3085
153.37,2001,942
14.53,647,627
22.95,2288,1818
0.75,103,1867
8.94,105,2142
15.19,3170,2355
59.01,1143,860
167.21,147,3255
4.89,1399,1498
106.33,2787,482
35.81,1377,2875
3.76,19,2959
1.97,373,2962
27.19,3558,1973
24.36,3082,232
152.59,1799,807
8.67,339,1532
3.93,1570,2874
11.49,1432,129
9.4,1894,767
17.45,722,2504
11.41,698,2272
94.76,441,3442
28.44,1297,3593
24.62,138,41
25.62,3593,382
71.05,471,2171
15.27,2429,3499
4.48,3632,2455
99.03,840,3216
111.76,828,687
71.51,1398,1534
51.45,3151,653
11.88,3397,947
12.78,826,44
101.99,2347,2091
8.9,372,632
84.54,2523,178
213.17,1300,325
189.37,915,636
50.6,1233,1730
10.73,54,2020
18.11,2039,1224
34.95,1531,1280
221.37,1580,2393
23.4,1952,2870
4.02,2348,3108
68.84,2404,1785
7.78,839,1356
2.29,475,1641
93.15,3194,1557
1.74,1928,3351
28.39,353,1499
25.63,733,24
66.63,2398,2132
11.64,3021,2658
51.75,775,763
975.85,2907,1715
31.58,1979,3398
60.82,920,1523
16.35,2234,1365
7.07,1560,2299
18.08,2784,203
31.31,2933,2960
53.53,2671,2672
47.72,2977,1033
10.49,2556,1326
20.17,1723,747
10.21,1676,2240
159.11,2818,2807
10.01,125,2952
56.64,869,32
33.11,1168,2929
114.7,666,1626
40.7,1050,179
24.61,2678,1733
638.54,3320,2078
10.59,1334,2581
15.22,1883,2781
113.72,2063,1179
36.59,2238,139
28.53,2392,1001
155.46,913,1297
2.93,104,3458
17.01,2096,2663
5.1,788,914
237.55,3334,1262
42.32,8,2726
214.33,2219,242
570.07,1600,2895
45.32,1268,484
29.77,2630,3028
49.3,1159,1573
3.0,399,3472
29.48,517,1272
57.55,1352,2360
3.82,1449,2653
94.59,2308,3535
131.29,456,948
63.93,1391,2042
34.88,2665,2538
102.78,3277,532
679.14,1784,564
23.61,2256,1185
100.52,119,469
101.78,3369,2943
271.63,499,2862
1323.84,1361,724
11.78,1154,1109
18.39,197,2083
7.93,730,1051
45.34,1190,1608
70.8,1429,631
53.7,383,398
426.63,1973,6
37.06,3299,2659
27.77,1168,1590
1.11,2221,307
213.99,1795,3628
29.25,2099,2009
19.27,3630,1605
323.52,2748,3580
34.98,2300,152
54.54,1060,631
9.47,1472,2820
6.04,1281,974
46.08,3174,1284
8.95,261,1221
13231.30233699646,4,3539
112.75,1994,1340
88.66,394,1835
21.64,242,1468
193.63,1187,2510
133.22,1244,14
2.98,1578,307
106.79,82,3271
10.27,3354,3626
21.8,2456,894
88.68,729,40
2.53,162,822
13.43,3240,644
19.93,3218,2569
19.85,3470,2758
34.7,991,2524
15.28,1742,1998
47.65,1425,3604
10.25,3054,442
60.65,1619,2378
12.44,1374,2981
8.05,740,3009
111.11,135,3607
22.66,3003,3165
46.73,3541,2907
665.98,3347,2773
701.17,1013,3576
34.18,2751,1672
6.63,3524,437
66.01,1758,1103
103.18,2783,2978
19.04,1336,232
45.27,480,611
34.16,1624,3056
30.01,1907,222
17.61,3344,1046
2.0,631,1338
58.24,104,3335
18.2,3646,1391
25.32,1455,35
20.71,1847,2640
91.41,2770,1731
9.48,325,1162
85.07,2540,501
3.45,1674,1251
22.57,3149,2445
72.99,746,1665
2.72,151,3446
21.05,154,857
150.62,3386,1437
29.68,561,3429
9.11,1106,403
6.45,109,1089
231.8,3567,2886
7.22,2784,316
123.04,1109,2530
54.81,3417,2880
566.03,1945,765
1149.72,252,1653
22.59,1726,3164
4.17,3138,2447
11.2,391,3358
78.3,572,704
16.66,2430,3089
3.12,240,2407
46.99,2606,3069
90.76,1944,3649
26.44,2476,614
1.36,3374,2642
2914.08,1753,952
55.76,3432,302
5.35,2550,1181
4.73,2917,3212
148.6,146,3449
70.28,3307,1318
138.35,1578,1120
2.54,213,1591
749.3,2052,253
190.34,1674,3649
3.29,3339,3564
1.91,3343,104
37.45,1481,3085
82.09,357,1231
15.11,1526,3510
56.54,1805,2084
57.45,3106,1504
11.5,2234,3326
15.21,3399,1644
190.37,240,3395
143.7,1913,1885
57.1,2935,712
245.52,3133,2792
12.43,1747,2560
189.21,2284,3128
171.86,1585,1806
4.99,2550,183
16.83,2944,2978
14.57,496,46
16.61,3283,3127
58.2,1022,2964
203.84,3047,2798
5.72,2400,2825
1.33,3047,565
42.51,646,2873
17.33,366,1078
8.66,2096,379
47.59,3608,1396
28.38,1978,87
102.33,2587,3084
9.16,1757,2938
12.27,2255,2074
30.79,1301,3468
158.61,1976,1893
24.65,1831,3012
6.18,211,2379
0.86,3509,2898
352.50980911306453,28,2161
172.56,1045,3593
423.1162466049898,8,598
13.46,531,2095
226.42,3382,1399
64.39,185,1415
17.57,1580,775
54.09,3153,1204
35.61,2021,3273
224.72,668,113
12.41,1156,3454
31.14,1615,2080
232.29,1316,1431
82.51,2061,3094
95.6,3173,1333
10.94,2579,1268
24.77,1146,177
5.27,796,1116
10.85,2171,918
16.14,572,157
104.0,2170,2759
55.38,1184,323
5.0,1923,1907
68.1,3421,2780
58.56,2058,987
511.4768772905279,8,728
6.2,787,2812
227.4,3168,3327
96.84,352,2507
399.88,311,287
14.09,1708,773
140.64,608,1139
34.99,982,2498
35.48,701,1300
19.53,607,2176
40.38,1592,2317
5.58,669,681
408.22,2934,2041
14.98,3137,3271
85.43,475,1911
10.37,1415,105
107.62,1330,1203
11.02,667,1050
139.04,2209,229
14.5,113,629
134.62,3454,46
146.82,716,990
134.15,2465,1682
182.54,1363,3074
6.24,661,1788
11.34,1193,2571
7.58,3354,2619
42.37,2884,3352
17.94,854,355
38.39,1124,1746
25.63,2383,2669
29.18,3613,638
42.51,2230,1089
101.32,1014,3
79.87,2668,2981
36.35,1674,3542
206.02,2909,1937
91.31,1861,1898
3.49,1924,1499
33.07,785,3321
28.19,713,1976
36.54,3511,2797
11.75,2337,2141
6.07,1827,3576
13.67,3584,3386
10.69,2447,2200
2.76,56,3282
5.26,517,1566
41.42,1714,757
27.31,3151,2023
14.91,682,511
38.77,1006,3342
303.37,1586,2011
83.42,1496,96
12.39,1998,2372
4.62,2970,1085
18.73,1279,811
1.68,3287,1966
58.71,2157,2371
4.85,1848,164
66.34,657,2954
432.28,880,2822
48.64,2356,1970
18.94,3419,676
7.91,2154,882
3.48,989,1969
47.89,81,2848
50.74,205,1226
155.11,2985,1980
7.77,733,2282
7.03,807,1702
99.85,1440,1957
15.98,2565,1513
13.75,1245,3634
8.47,2249,13
9.68,732,71
37.67,3617,1001
4.78,409,582
140.48,1737,72
12.11,877,3119
56.36,2229,205
6.73,81,1348
99.75,1889,2233
198.02,3542,2482
62.63,1706,2176
74.55,471,2913
120.65,2257,1455
6.27,1294,871
18.36,641,1148
9.0,2049,1112
10.33,2433,2433
26.73,594,2024
178.46,1281,1972
43.27,299,282
33.53,1795,2587
28.47,1600,3040
3.56,2692,2121
20.77,814,2120
20.99,1970,1251
57.6,368,389
1.52,1909,1297
12.64,1498,1843
1022.61,2253,1106
37.97,1389,944
10.04,1462,792
10.63,1302,291
22.71,3295,2554
43.09,1527,2113
36.15,3115,1553
7.68,2949,1950
11.07,1469,2401
9.15,1446,1999
548.67,3560,2505
106.16,2665,438
2.22,2529,155
429.58,1451,1790
30.67,3151,1649
37.09,1042,267
26.32,901,2193
12.17,2270,3316
74.89,1511,1035
117.03,2870,2769
28.28,126,1019
13.96,657,3456
5.44,2063,1783
56.19,630,308
178.25,941,953
50.31,1506,2731
15.89,2625,2851
33.7,1818,3502
61.32,3252,1978
126.47,1315,946
13.18,1642,1353
28.06,436,1959
64.33,3223,2555
196.01,1357,2792
105.78,2740,3451
15.1,1775,639
5.91,738,1105
121.12,3388,411
199.18,252,2888
9.83,611,3168
2.77,2606,1992
89.09,2304,1710
88.88,2256,59
27.2,931,3642
1435.11,177,172
40.96,1222,3475
42.04,1227,3623
299.51,1975,448
63.96,536,711
31.12,1098,3481
66.58,3647,38
120.61,3194,1321
50.86,583,2610
12.18,175,1292
5.54,2856,2498
43.28,85,1685
6.7,1188,1858
4.34,2473,1716
52.21,1234,2099
24.29,1007,228
4.88,2982,7
3.85,3329,2282
86.5,2178,2763
13.88,2603,2316
6.87,757,2488
21.49,3116,540
1.92,1233,656
198.26,834,2563
80.04,2671,3544
112.85,1547,3034
27.74,502,1979
22.88,2544,3526
290.98,1559,100
122.51,268,2279
26.18,1664,268
41.76,1260,1988
163.91,776,2689
2.74,724,1946
5.63,2333,1287
109.1,2884,1339
82.85,103,540
8.79,1216,2285
35.58,2836,320
33.08,1756,931
7.2,19,3567
2.37,802,480
75.54,2133,745
99.02,2766,3420
24.6,822,1665
13.37,69,1298
4.01,3261,2633
143.42,503,311
64.79,2937,3278
181.82,2224,525
2.16,3372,1888
85.66,621,1684
11.61,2773,2148
111.3,1096,1397
13.05,2405,2948
98.33,2564,962
103.89,2275,1154
54.26,2927,2390
32.77,1760,184
23.8,1493,473
22.3,108,3306
91.04,2951,2705
12.11,738,3637
8.22,2778,912
437.36,3405,2631
58.63,2627,3016
22.6,2788,1528
54.39,3567,1948
4.66,3151,3156
41.39,2863,3442
36.06,1095,1344
5.72,3396,2815
2.66,586,1087
8.7,1046,2131
3.67,3618,51
15.25,2168,2959
11.39,133,2828
13.99,2549,2531
199.11,2699,1404
34.46,2787,267
2.0,1182,2097
1.05,834,3000
182.11,3057,3164
1.05,3449,1643
7.59,1461,3449
12.21,3098,3639
10.07,3072,34
16.69,1945,2084
4.54,3403,1147
33.17,299,1681
15.25,3159,1051
68.74,1664,1995
317.43,1556,1877
5.65,1785,3199
24.86,582,783
8.83,1950,2827
105.52,2094,1216
9.04,156,2332
43.32,2409,2386
2.59,1009,741
652.1999889187576,16,3363
379.78,1825,745
357.37,319,78
338.16,2001,1869
9.76,2649,475
77.71,2609,1514
77.28,3303,2131
106.22,2328,1408
18.61,1040,599
40.84,2893,3157
24.31,2576,1467
132.59,592,3574
78.17,3001,519
33.96,1139,2506
33.26,3569,2311
106.07,1454,393
17.83,586,2841
24.13,1421,2196
195.09,2701,2068
7.21,2759,36
11.88,1430,2819
214.61,2669,2308
0.4,1684,732
76.63,2857,2465
56.87,2658,2858
69.37,671,1987
9.69,2964,1167
8.98,1347,496
119.66,1307,2467
50.4,129,344
306.96,3327,441
151.31,2040,2745
57.2,2899,2062
10.82,1386,2619
62.92,3114,870
2.69,690,1504
30.44,2817,662
17.36,2568,3461
16.87,2036,3530
18.12,3352,1002
10.42,3128,2210
10.96,1958,1953
162.7,3225,2964
24000.0,40,600
3.22,1426,1912
165.78,2911,208
19.71,555,3490
1.88,3339,2701
101.78,3101,3181
165.38,1218,3526
116.43,54,373
48.73,1730,233
50.28,790,990
9.99,2516,32
17.0,1966,3422
67.99,1211,3510
20.42,2547,1126
34.58,2790,948
5.53,3121,579
12.03,995,3309
151.41,419,1347
5.53,3396,1460
3.83,2822,411
65.33,3253,158
22.22,2131,2648
11.34,3345,880
30.19,1146,427
44.43,686,2278
272.08,202,642
60.73,84,644
5.9,1784,909
37.03,1726,1284
120.23,113,3481
25.77,2269,2598
6.41,3329,2203
152.05,3235,2141
364.26,40,589
11.04,1127,1215
12.41,1562,1778
9.9,2504,261
9.71,3146,1634
1750.79,2431,2522
7.58,3606,1789
16.41,766,2423
23.0,1516,2914
93.46,732,339
132.92,2373,3437
350.14,45,1266
15.52,3559,1155
12.15,2724,3352
66.54,394,2887
2.44,1576,973
6.7,905,3568
14.89,228,3277
101.83,944,3446
31.71,187,778
33.01,2898,1671
14.29,2581,1159
24.82,446,2553
14.7,3085,3564
147.28,1545,3031
23.77,568,3046
232.46,1273,2546
23.39,2322,1151
23.76,3057,2011
29.11,3439,2055
13.56,1075,1235
1.79,2340,1591
4.39,2587,752
75.66,2336,685
85.38,746,2880
37.25,2801,647
24.08,130,2643
61.03,1321,951
99.81,21,2009
48.94,2629,2193
61.94,1677,3585
38.44,38,1018
38.99,3566,2254
40.41,1744,189
103.93,1634,2630
5.13,1911,1111
192.6858572595449,27,249
175.61,2567,3160
8.14,3618,136
25.21,2711,2363
63.62,2444,2461
36.19,776,2096
40.82,2987,1867
49.04,1739,795
164.97,3223,3302
51.32,3567,1746
8.78,3460,764
18.0,979,1592
120.79,2969,1144
10.54,3327,1282
4.46,2379,2834
78.57,3245,362
5.72,500,2120
529.91,785,1606
27.89,1790,2524
160.51,2878,1976
48.41,3391,3273
54.85,1964,207
21.16,3113,418
56.81,118,806
395.3884928955954,2,2228
5.52,2410,1504
419.63,2449,1248
216.07,816,2894
52.56,1823,806
141.24,974,841
123.02,3536,3626
17.63,485,638
0.69,3391,137
43.6,1164,3196
93.96,794,645
245.99,1950,738
13.69,1482,1562
3.45,3010,687
1.64,2311,1271
49.62893018333447,10,2055
10.95,3416,726
18.03,1990,1888
18.77,1629,2620
102.24,1778,687
591.28,1779,3428
45.13,1197,1835
23.41,764,904
114.43,1900,1950
28.13,3083,1836
22.22,3100,1279
402.66,3399,3031
35.17,645,782
142.48,359,835
127.67,1791,2448
58.0,3428,1519
6.73,299,2591
9.76,1412,2826
56.95,3279,1369
40.58,1046,1312
425.62,71,1611
632.21,55,377
53.45,3446,2617
69.64,335,1695
8.59,3413,3089
3.4,601,1871
8.52,581,2827
187.51,749,2123
25.65,2021,1930
138.58,729,768
204.84,83,1552
41.69,1769,344
10.02,2525,2024
68.6,3205,965
138.9,878,2612
52.64,78,3071
68.53,3095,1922
31.45,153,3392
57.33,1638,2915
17.03,125,839
207.62,468,3602
35.79,2361,734
47.43,397,3071
6.89,2357,151
20.39,755,2190
89.51,2677,759
31.24,37,1827
59.71,949,1267
8.47,2019,3255
9.25,1443,500
428.53,2192,1655
49.93,2815,1279
7.89,467,701
31.09,779,3308
54.12,1607,878
159.64,2144,2885
7.19,3383,3041
25.11,3204,2374
75.81,859,3020
3.58,226,522
285.45,2425,2987
1.74,679,1008
15.4,7,16
109.31,397,1676
194.12,2892,2353
43.52,2152,1500
98.06,3065,2173
6.05,61,2965
17.22,1542,2532
10.2,2690,1584
464.64,111,1823
120.15,3308,3130
100.25,2695,3395
587.67,3271,1473
41.75,1285,1374
7.35,3562,2818
15.39,155,2925
12.07,508,440
116.42,1003,2267
18.12,2740,1790
58.67,3421,334
12.47,1672,3051
2490.78,1229,1366
9.08,130,2211
12.17,3154,1161
55.52,3079,3424
32.03,494,1422
25.73,2061,59
5.29,3469,2852
218.27,3535,1237
395.47,1309,1202
3.03,1747,2151
31.94,843,71
43.99,2723,2822
369.43,1326,1095
8.26,2029,1663
21.67,351,1231
4.58,1170,2981
161.13,1653,1434
6.81,843,1338
10.04,2374,485
3.94,2064,2396
112.1,1571,1558
67.17,1067,2703
3.58,1239,1713
13.68,1035,3166
2.0,1157,2603
539.5266861851115,13,3134
164.95,2645,598
130.2,1442,261
10.87,3643,1072
6.85,2737,2852
42.05,1580,2631
49.6,2199,1374
15.41,17,1192
32.54,1133,2390
4.18,588,2757
37.52,742,3453
175.16,1640,275
11.39,673,771
124.92,1210,2389
7.86,3311,1459
7.96,1825,2435
890.1846415733497,18,2139
216.85,1776,1656
484.15,2886,596
28.81,1623,2323
3.62,528,2378
15.97,3124,1815
86.2,2455,1068
6.42,236,2999
81.17,1848,2254
85.35,1937,2162
0.87,1625,1446
5.07,2757,778
41.39,508,1808
16.43,2449,2633
645.19,2041,1593
63.48,3397,2139
1671.26,1596,1256
29.05,969,2523
3.9,101,2715
6.6,1797,1088
491.89,431,2974
29.13,451,1053
152.81,3310,3521
94.96,319,817
72.1,1246,1174
1.29,2145,1900
70.46,879,1754
35.37,3442,2025
34.61,516,571
46.55,1782,558
21.38,6,3061
34.54,2724,3261
0.97,1170,1857
4.93,1949,1867
124.9,1402,2878
2.76,20,2215
12.95,557,1311
17.58,337,1920
11.51,103,3564
32.93,892,3627
30.38,2620,3292
153.66,358,231
74.69,3245,405
25.25,3060,3322
45.84,310,3068
24.18,2867,2457
14.97,3525,558
18.38,2426,418
67.47,2724,570
62.48,593,1626
35.44,2551,3179
33.88,285,2646
10.74,196,406
29.59,2011,1643
34.66,1597,3230
20.59,517,459
32.35,125,1041
104.59,1055,2268
20.16,1557,1500
40.83,538,1525
392.2,721,754
39.96,1190,2912
5.56,3142,2190
335.51,1615,3346
84.82,2865,2156
18.12,230,578
102.48,3362,2189
361.39,1406,1341
2.49,2392,2516
49.04,1950,187
80.46,1985,2498
58.08,2301,3019
29.23,1588,969
20.56,1527,2556
40.12,814,2315
5.95,1601,1848
169.57,453,1040
521.36,2975,828
3.56,596,1312
173.09,2542,2650
21.89,1768,458
8.08,184,2363
75.92,2678,2204
29.82,3384,1066
34.09,2779,3098
300.28,1940,1524
34.87,2014,559
56.34,2173,1271
141.12,3577,472
1143.91,1586,2799
15.33,718,2878
1121.47,3167,98
5.57,2858,2179
943.4,3503,2649
23.21,231,1987
41.21,241,2029
2.24,3169,3554
25.93,881,1672
14.31,452,601
25.01,458,3338
6.77,112,879
18.45,3612,3324
36.22,3013,527
61.9,2071,997
110.39,38,406
236.27,2147,1840
32.49,1375,1205
11.55,910,3537
4.53,47,1139
511.48,3505,1762
6.03,107,2430
70.43,632,694
14.67,316,3302
36.58,550,2237
26.11,803,2291
1.83,2718,1568
803.83,44,2954
20.02,2627,1416
81.82,3413,696
20.18,1499,2955
28.44,1787,3173
164.42,135,2592
13.25,1556,3522
201.47,219,1414
38.41,3602,3496
14.17,2213,2767
3.06,3491,3244
468.8505727093726,26,2187
4.23,419,2319
117.35,2729,772
12.52,1729,2689
15.27,1557,3185
1153.69,402,2620
183.34,1369,907
228.81,2427,2533
26.48,2578,3324
129.85,2652,115
724.81,1818,3603
68.9,3284,1417
16.95,902,1998
4.27,2071,1893
305.23,3303,2115
5.21,1615,3235
5.12,3511,2673
68.3,1823,1746
1.49,2032,2545
263.66,3295,2997
459.08,1382,263
189.59,1211,3061
20.52,1696,3356
8.17,1419,2020
31.09,2428,1456
4.05,845,1325
89.58,2422,3157
667.31,2839,1834
2327.87,2606,3057
12.19,2736,1709
74.85,117,319
8.54,2526,3461
11.3,2223,378
2.02,2792,2618
293.23,2393,128
5.17,1464,1115
23.55,1919,636
1.19,1978,1559
7.59,3534,2625
55.12,1907,2395
15.72,2088,620
76.35,3464,3631
78.47,719,146
33.53,422,2560
61.08,2908,3198
662.22,553,2121
217.59,394,509
20.44,754,2842
93.45,3023,1460
21.38,1063,1871
71.28,999,1728
49.92,2447,2992
854.6,1288,3157
80.05,137,2188
4.17,2728,2849
774.3445076073688,12,747
27.02,249,1461
17.77,3065,1049
5.74,972,2125
7.72,2986,1611
27.65,3172,3370
48.6,2675,2687
200.35,254,2907
27.07,3247,713
44.02,1546,3540
17.4,1049,2629
24.86,1333,1098
20.2,3466,3557
536.24,1496,295
43.2,417,1945
10.55,1673,2937
143.93,1123,263
15.84,216,759
415.47,1156,846
9.41,1197,2874
501.49,1887,2505
4.29,560,1230
18.38,597,1495
5.44,1503,2357
52.5,18,3553
56.94,2311,2066
51.69,2053,757
351.71,1524,3333
7.69,404,2112
959.07,1469,3301
16.13,1990,1132
7.08,1043,2024
112.99,849,2803
67.33,2814,1103
170.04,1631,1298
41.84,3158,140
4.25,1718,2859
1.62,799,1931
101.04,2513,654
163.21,2790,337
187.92,789,3225
87.28,897,3430
89.64,1489,2565
2.14,866,2170
21.01,397,2410
9.65,2687,1486
0.74,1610,1853
152.1,270,1534
31.61,1707,278
107.79,1978,421
929.76,2941,531
11.95,1628,704
39.46552837096502,24,3196
11.12,2747,1577
237.59,1220,3337
99.96,764,1295
28.34,1428,314
169.78,3064,2624
714.45,679,1980
32.12,1366,1099
6.27,3461,1102
25.52,1199,296
58.11,1352,211
55.99,14,1360
18.5,2528,1270
264.64,856,3049
47.84,485,2249
395.47,2180,127
764.75,1409,3420
5.16,2478,865
55.07,2835,733
94.21,1956,888
101.19,1023,37
503.8,1144,82
186.19,2478,2902
9.1,1237,2622
478.26,1595,1754
159.1,2808,1738
15.46,820,1238
34.81,2889,2638
28.28,624,1737
226.62,452,2351
3.12,2153,1150
13.81,2320,1086
24.133814112584247,10,658
45.24,2907,2319
5.65,3633,3375
16.16,1771,3189
16.43,3040,3006
60.7,3126,2156
93.39,334,3480
26.83,1359,54
76.02,1227,2205
65.28,1836,1174
14.56,2692,2157
14.59,180,1928
81.11,3296,1356
34.2,2004,2894
50.02,2595,730
46.13,2650,1698
39.48,582,1196
35.51,3362,1308
184.94,1105,673
274.36,1292,2905
2.87,318,1206
62.27,156,464
122.54,7,971
11.16,1382,923
9.16,748,2448
176.51,2527,3184
9.96,1433,3186
10.9,1402,2832
58.51,1868,1409
7.5,503,2367
156.25601322036113,8,2251
0.25,693,215
158.6,2541,1355
5.82,970,1002
64.34,3091,1173
13.39,1647,1954
61.85,3477,695
81.71,2714,1757
7.19,3273,2295
82.33,1821,1668
70.57,368,2196
34.51,1152,1164
29.78,362,3174
1.51,1721,783
394.16,2749,2132
26.94,731,1726
62.59,227,1257
67.47,1934,683
477.98,360,277
110.9,2165,1036
11.09,2315,460
2078.81,181,2517
159.8,78,1328
40.2,2309,1324
275.86,3555,1819
2.95,1667,1899
46.21,303,2139
9.5,461,880
32.45,554,477
87.15,568,286
21.98,3120,1150
186.93,2425,3139
165.82,1218,50
33.28,566,1471
111.46,2131,3162
121.56,1320,2937
48.1,3379,1593
3.7,3522,1977
10.16,2598,2697
4.14,2282,958
2.3,887,32
132.75,947,1893
8.73,958,2753
22.06,1133,2954
164.78,2678,1617
20.09,410,444
22.44,3523,3460
4.99,1221,249
11.12,2180,2954
3.45,2618,423
74.02,2947,3643
123.3,1444,1341
121.15,3011,425
333.09,567,3646
41.39,6,2961
72.49,3247,756
27.59,3404,2012
38.26,2288,3058
124.81,1999,1678
202.76,897,2522
56.66,2906,3193
45.75,3525,2452
90.52,1571,1792
0.77,200,3427
44.9,641,3137
70.84,1891,1133
45.61,96,1884
36.88,1270,1970
23.73,3066,1823
403.98,984,3219
39.54,3485,1283
1.1,1193,2944
5.27,89,724
31.13,3268,1710
30.58,328,973
18.21,2967,1777
51.78,1022,1503
14.73,3197,477
33.31,2232,2814
41.77,2586,1279
80.01,1138,1317
86.41,891,265
51.81,314,1557
69.08,2342,1260
92.28,2858,2262
70.12,242,2950
49.58,431,2633
67.26,2422,1746
40.59,2647,3206
29.99,3179,2413
14.55,1537,3544
14.43,3453,3627
53.37,2175,3315
61.45,3270,655
26.87,3255,543
95.94,2926,419
906.96,1775,2291
754.0,1203,934
25.54,419,2845
10.23,48,1824
743.3316733635735,25,3223
780.52,1619,1441
32.4,729,2354
115.36,2443,2971
32.12,3112,944
19.54,1398,1553
11.41,2619,650
103.01,1653,1606
1115.21,785,2078
30.89,815,707
9.17,3147,2528
142.94,3562,743
202.89,518,2725
530.64,1376,669
162.02,455,533
15.28,1265,2107
78.36,840,3300
12.18,2376,869
77.17,73,1983
26.94,3564,2985
25.49,1891,546
22.61,823,2881
102.73,1238,2990
603.99,339,1456
200.99,2331,699
2.48,2495,2544
191.53,1382,1417
23.0,3065,2220
0.53,2055,753
10.75,1763,1234
275.79,2422,3043
8.25,437,1953
29.49,1629,3389
31.32,2411,1102
610.92,1180,2885
40.05,1830,2583
20.19,2630,258
75.02,2227,824
23.66,2404,3366
16.76,2671,2485
61.31,1578,2049
382.78,3610,2758
5.36,3049,2145
16.17,1247,1431
10.18,1630,301
41.2,1101,1887
10.92,620,3031
364.64,287,843
14.71,1468,2658
114.2,1951,3617
33.12,367,2696
1.83,2529,1552
28.29,2587,1634
12.06,3182,691
24.21,2086,392
17.73,1087,35
289.27,1190,3026
3.26,2925,3546
60.03,878,323
6.99,484,574
75.14,2596,1370
18.71,317,446
61.31,2022,1690
0.52,2963,1543
20.14,1235,3056
136.7,1371,1530
109.94,899,924
181.77,2838,3224
56.95,3243,422
379.63,2473,3490
5.29,253,955
2.05,788,1029
32.09,1685,963
0.91,2482,1624
20.4,554,1093
99.28,3010,24
281.19,2312,2504
43.27,3540,3436
120.76,2850,965
237.57,949,950
0.76,3630,1803
33.38,28,3
3.27,1538,242
175.42,1503,33
